User: USER,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,Unnamed: 88,Unnamed: 89,Unnamed: 90,Unnamed: 91,Unnamed: 92,Unnamed: 93,Unnamed: 94,Unnamed: 95,Unnamed: 96,Unnamed: 97,Unnamed: 98,Unnamed: 99,Unnamed: 100,Unnamed: 101,Unnamed: 102,Unnamed: 103,Unnamed: 104,Unnamed: 105,Unnamed: 106,Unnamed: 107,Unnamed: 108,Unnamed: 109,Unnamed: 110
C04,Sample X1,10544,8847,8123,7904,7855,7430,7790,7544,7730,7428,7591,7695,7619,7669,7557,7499,7967,7824,7673,7869,7838,7906,8068,8005,7927,8160,8159,8248,8301,8321,8338,8508,8561,8498,8519,8586,8655,8628,8623,8771,8759,8808,8789,8780,8788,8980,8721,8913,8624,8997,8762,8913,8836,8844,9004,8637,8800,8864,8793,8899,8763,8886,8861,8687,8805,8751,8735,8810,8831,8938,8516,8680,8633,8833,8866,8867,8762,8923,8865,8697,8660,8679,8797,8917,9089,8998,9034,8958,9173,9088,8964,9041,9070,8971,9032,9236,9265,9299,9327,9389,9274,9270,9367,9381,9358,9324,9412,9295,9257
C05,Sample X2,8841,6524,5810,5641,5724,6518,5284,5193,6316,5332,5427,6400,5264,5322,5093,5434,5631,5715,5440,5606,5745,5938,5899,5793,5890,6051,5888,6076,6133,6257,5971,6195,6621,6437,6364,6407,6507,6382,6571,6466,6611,6481,6574,6670,6487,6643,6569,6563,6678,6593,6683,6624,6549,6390,6547,6513,6446,6328,6393,6372,6274,6475,6403,6439,6417,6297,6402,6484,6288,6454,6365,6202,6466,6417,6357,6407,6384,6390,6450,6534,6478,6481,6591,6563,6612,6512,6735,6509,6490,6670,6691,6645,6740,6605,6683,6583,6626,6742,6666,6682,6682,6746,6891,6556,6746,6697,6688,6855,6842
C06,Sample X3,9250,6690,6220,5690,5421,5433,5396,5504,5491,5557,5437,5644,5547,5578,5736,5942,5696,5800,6119,5932,5947,6017,6021,6101,6230,6347,6376,6280,6571,6511,6720,6734,6784,6738,6718,6957,6842,6994,6853,7028,7023,6996,7086,7039,7299,6949,7316,7204,7290,7210,7222,7363,7499,7531,7358,7393,7375,7290,7291,7167,7626,7306,7339,7466,7426,7118,7342,7170,7262,7242,7074,7268,7353,7147,6995,6960,7172,7163,7074,7071,7270,7122,7290,7462,7147,7127,7329,7170,7256,7484,7440,7456,7417,7243,7374,7349,7411,7304,7373,7454,7472,7488,7417,7404,7448,7556,7611,7432,7653
C07,Sample X4,9233,6475,5944,5635,5547,5150,5323,5384,5445,5477,5478,5531,5435,5561,5506,5694,5782,5999,5841,5912,5935,6069,6197,6170,6289,6229,6333,6545,6441,6531,6471,6605,6781,6754,6829,6739,6923,6939,7137,6910,6958,7053,6878,6978,6983,7038,6995,7091,7090,7013,6890,6996,6953,6913,6977,6938,6963,6892,6933,6752,6678,6758,6724,6829,6743,6825,6648,6672,6874,6890,6840,6892,6717,6972,7051,7052,7011,6955,6856,7058,6981,6961,6914,6965,7018,7027,7261,7211,7128,7082,7105,7156,7268,7191,7294,7214,7369,7174,7240,7216,7407,7345,7245,7344,7257,7479,7530,7458,7488
C08,Sample X5,9288,6300,5465,4916,5023,4783,4905,4862,4787,4796,4911,5006,4860,4851,4981,4938,5070,5164,5168,5355,5359,5420,5564,5517,5606,5720,5751,5709,5837,5857,5883,5947,5985,6110,6100,6072,6232,6113,6155,6247,6389,6212,6362,6201,6296,6292,6398,6228,6274,6301,6272,6273,6156,6254,6334,6189,6122,6241,6236,6205,6169,6123,6183,6366,6289,6303,6309,6337,6271,6298,6559,6405,6495,6396,6526,6492,6643,6572,6554,6815,6661,6648,6683,6697,6789,6733,6705,6769,6848,6897,6955,6903,6753,6843,6977,6990,6994,6977,7011,7137,7080,7157,7098,7140,7202,6914,7232,7110,7265
C09,Sample X6,9201,6325,5888,5593,5600,5177,5313,5254,5489,5269,5519,5475,5362,5455,5538,5575,5741,5747,5709,5796,5792,5963,6034,5883,6219,6397,6249,6382,6445,6569,6399,6657,6649,6918,6676,6786,6837,6727,6825,6868,6941,6921,7007,7013,6996,6949,6871,6949,7014,7183,6957,7041,6939,6958,7025,7019,6816,6921,6877,6916,6838,6872,6834,6901,6769,6752,6817,6724,6808,6759,6932,6851,6990,6973,7122,6966,7074,6859,7137,7094,6892,7032,7124,7123,7037,7225,7149,7201,7074,7176,7223,7119,7187,7350,7201,7373,7266,7301,7434,7322,7218,7345,7355,7191,7311,7422,7578,7371,7314
C10,Sample X7,7941,5645,5223,4906,5014,4852,4996,4841,5021,5118,5093,5225,5328,5442,5426,5435,5622,5623,5903,5927,5932,6091,6188,6223,6190,6295,6556,6384,6637,6610,6693,6783,6634,7103,7018,7187,7180,7131,7372,7351,7560,7431,7389,7450,7572,7659,7681,7695,7741,7737,7720,7847,7630,7995,8118,7932,7793,7862,7709,7856,7838,7883,7680,7543,7601,7823,7628,7782,7638,7743,7491,7501,7625,7583,7543,7484,7518,7412,7405,7345,7442,7540,7401,7340,7418,7481,7440,7527,7460,7495,7479,7479,7636,7628,7571,7701,7654,7714,7490,7785,7517,7562,7650,7707,7697,7639,7756,7727,7753
C11,Sample X8,7753,5710,5295,5050,5200,4947,5120,5063,5222,5191,5465,5503,5505,5779,5819,5788,6098,5891,6030,6298,6251,6323,6437,6440,6676,6685,6846,6892,6930,7007,7023,7251,7365,7259,7258,7493,7476,7364,7571,7717,7775,7984,7961,8013,7915,7790,7890,7832,8043,7739,7995,7944,7899,8123,7935,7983,7897,7843,8078,7960,7792,7900,7859,7759,7867,7704,7777,7807,7746,7695,7677,7661,7506,7895,7581,7534,7633,7736,7512,7746,7552,7708,7681,7659,7614,7877,7750,7759,7742,7905,7779,7918,7822,7776,7802,7907,7976,7869,7783,7926,8109,7890,8064,8055,7886,7848,7805,8033,8054
C12,Sample X9,8043,6119,5774,5439,5400,5173,5331,5462,5490,5463,5537,5646,5692,5750,5692,5831,5891,5972,5940,6066,6005,6087,6194,6093,6418,6418,6467,6541,6597,6659,6769,6752,6839,6992,6861,7003,7026,6895,7119,7155,7078,7083,7209,7132,7183,7437,7133,7066,7139,7232,7187,7027,7066,7088,7048,6954,6916,7007,6763,6790,6864,6805,6727,6751,6761,6538,6606,6769,6677,6765,6630,6729,6757,6807,6654,6714,6834,6787,6816,6843,6812,6766,6830,6756,6794,6788,6773,6827,6853,6929,6988,6964,6907,6806,6834,6948,7021,6821,7151,6950,6905,6960,7034,6976,6939,6939,6985,7136,6954
C13,Sample X10,8685,6218,5816,5652,5577,5494,5579,5560,5751,5619,5736,5733,5810,6046,6071,6031,6182,6263,6488,6365,6456,6642,6671,6584,6750,6979,6872,7016,7085,7023,7157,7346,7383,7692,7463,7698,7849,7501,7525,7552,7679,7727,7891,7766,7807,7900,7959,7852,7959,8036,7886,7987,7835,8003,7902,8300,7938,7677,7823,8111,7736,7647,7684,7619,7765,7658,7535,7645,7718,7522,7631,7323,7411,7697,7627,7497,7608,7494,7369,7671,7518,7764,7626,7746,7712,7595,7743,7736,7612,7533,7624,7803,7778,7728,7898,7782,7709,7760,7864,7855,7777,7971,7914,7948,7985,7971,7919,8122,7896
C14,Sample X11,10957,7342,6273,5806,5548,5322,5066,4809,4686,4843,4743,4843,4958,4805,5056,5177,5014,5247,5153,5400,5284,5374,5395,5467,5419,5536,5618,5677,5821,5825,5799,5796,5934,5886,5983,6037,5908,5967,5903,6141,6077,6101,5981,5917,6174,6093,6176,5811,5976,5933,6087,5931,5914,5834,5856,5973,5833,5729,5936,5827,5857,5812,5956,5931,5933,5912,6009,6009,6106,6030,6043,6117,5959,6061,5947,6130,6064,6096,6166,6247,6329,6248,6332,6395,6279,6357,6238,6267,6308,6402,6429,6481,6374,6268,6522,6417,6312,6516,6559,6562,6515,6570,6451,6669,6470,6595,6755,6602,6623
