Solution,arabinose %,EB,CE,1^f (nM), 3^f (nM), 4^f (nM), 5^f(nM), 6^f(nM)
Concentration,10.0,1.0,1.0,100.0,100.0,100.0,100.0,100.0
Input plate type,384PP_AQ_BP,384PP_AQ_BP,384PP_AQ_BP,384PP_AQ_BP,384PP_AQ_BP,384PP_AQ_BP,384PP_AQ_BP,384PP_AQ_BP
