Sample,Plasmid pP70a(2)-deGFP (nM),EB,CE
Mix no1,1,0.42,0.33
Mix no2,3,0.42,0.33
Mix no3,5,0.42,0.33
Mix no4,7,0.42,0.33
Mix no5,9,0.42,0.33
Mix no6,11,0.42,0.33
Mix no7,13,0.42,0.33
Mix no8,15,0.42,0.33
Mix no9,17,0.42,0.33
Mix no10,19,0.42,0.33
Negative control,0,0.42,0.33
