,Transfer Volume,Reaction Volume (nL),Destination Well,Source Plate Barcode,Source Plate Type,Source Well,Content,Destination_plate Type
39,1250,3000 (nL),A10,384PP_AQ_BP_plate_1,384PP_AQ_BP,{A02;A03},EB,384PP_Dest
40,1250,3000 (nL),A11,384PP_AQ_BP_plate_1,384PP_AQ_BP,{A02;A03},EB,384PP_Dest
41,1250,3000 (nL),A12,384PP_AQ_BP_plate_1,384PP_AQ_BP,{A02;A03},EB,384PP_Dest
42,1250,3000 (nL),A13,384PP_AQ_BP_plate_1,384PP_AQ_BP,{A02;A03},EB,384PP_Dest
43,1250,3000 (nL),A14,384PP_AQ_BP_plate_1,384PP_AQ_BP,{A02;A03},EB,384PP_Dest
44,1250,3000 (nL),A15,384PP_AQ_BP_plate_1,384PP_AQ_BP,{A02;A03},EB,384PP_Dest
45,1250,3000 (nL),A16,384PP_AQ_BP_plate_1,384PP_AQ_BP,{A02;A03},EB,384PP_Dest
46,1250,3000 (nL),A17,384PP_AQ_BP_plate_1,384PP_AQ_BP,{A02;A03},EB,384PP_Dest
47,1250,3000 (nL),A18,384PP_AQ_BP_plate_1,384PP_AQ_BP,{A02;A03},EB,384PP_Dest
48,1250,3000 (nL),A19,384PP_AQ_BP_plate_1,384PP_AQ_BP,{A02;A03},EB,384PP_Dest
49,1250,3000 (nL),A20,384PP_AQ_BP_plate_1,384PP_AQ_BP,{A02;A03},EB,384PP_Dest
50,1250,3000 (nL),A21,384PP_AQ_BP_plate_1,384PP_AQ_BP,{A02;A03},EB,384PP_Dest
51,1250,3000 (nL),A22,384PP_AQ_BP_plate_1,384PP_AQ_BP,{A02;A03},EB,384PP_Dest
52,1250,3000 (nL),A23,384PP_AQ_BP_plate_1,384PP_AQ_BP,{A02;A03},EB,384PP_Dest
53,1250,3000 (nL),A24,384PP_AQ_BP_plate_1,384PP_AQ_BP,{A02;A03},EB,384PP_Dest
54,1250,3000 (nL),B01,384PP_AQ_BP_plate_1,384PP_AQ_BP,{A02;A03},EB,384PP_Dest
55,1250,3000 (nL),B02,384PP_AQ_BP_plate_1,384PP_AQ_BP,{A02;A03},EB,384PP_Dest
56,1250,3000 (nL),B03,384PP_AQ_BP_plate_1,384PP_AQ_BP,{A02;A03},EB,384PP_Dest
57,1250,3000 (nL),B04,384PP_AQ_BP_plate_1,384PP_AQ_BP,{A02;A03},EB,384PP_Dest
58,1250,3000 (nL),B05,384PP_AQ_BP_plate_1,384PP_AQ_BP,{A02;A03},EB,384PP_Dest
59,1250,3000 (nL),B06,384PP_AQ_BP_plate_1,384PP_AQ_BP,{A02;A03},EB,384PP_Dest
60,1250,3000 (nL),B07,384PP_AQ_BP_plate_1,384PP_AQ_BP,{A02;A03},EB,384PP_Dest
61,1250,3000 (nL),B08,384PP_AQ_BP_plate_1,384PP_AQ_BP,{A02;A03},EB,384PP_Dest
62,1250,3000 (nL),B09,384PP_AQ_BP_plate_1,384PP_AQ_BP,{A02;A03},EB,384PP_Dest
63,1000,3000 (nL),A01,384PP_AQ_BP_plate_1,384PP_AQ_BP,A04,CE,384PP_Dest
64,1000,3000 (nL),A02,384PP_AQ_BP_plate_1,384PP_AQ_BP,A04,CE,384PP_Dest
65,1000,3000 (nL),A03,384PP_AQ_BP_plate_1,384PP_AQ_BP,A04,CE,384PP_Dest
66,1000,3000 (nL),A04,384PP_AQ_BP_plate_1,384PP_AQ_BP,A04,CE,384PP_Dest
67,1000,3000 (nL),A05,384PP_AQ_BP_plate_1,384PP_AQ_BP,A04,CE,384PP_Dest
68,1000,3000 (nL),A06,384PP_AQ_BP_plate_1,384PP_AQ_BP,A04,CE,384PP_Dest
69,1000,3000 (nL),A07,384PP_AQ_BP_plate_1,384PP_AQ_BP,A04,CE,384PP_Dest
70,1000,3000 (nL),A08,384PP_AQ_BP_plate_1,384PP_AQ_BP,A04,CE,384PP_Dest
71,1000,3000 (nL),A09,384PP_AQ_BP_plate_1,384PP_AQ_BP,A04,CE,384PP_Dest
72,1000,3000 (nL),A10,384PP_AQ_BP_plate_1,384PP_AQ_BP,A04,CE,384PP_Dest
73,1000,3000 (nL),A11,384PP_AQ_BP_plate_1,384PP_AQ_BP,A04,CE,384PP_Dest
74,1000,3000 (nL),A12,384PP_AQ_BP_plate_1,384PP_AQ_BP,A04,CE,384PP_Dest
75,1000,3000 (nL),A13,384PP_AQ_BP_plate_1,384PP_AQ_BP,A04,CE,384PP_Dest
76,1000,3000 (nL),A14,384PP_AQ_BP_plate_1,384PP_AQ_BP,A04,CE,384PP_Dest
77,1000,3000 (nL),A15,384PP_AQ_BP_plate_1,384PP_AQ_BP,A04,CE,384PP_Dest
78,1000,3000 (nL),A16,384PP_AQ_BP_plate_1,384PP_AQ_BP,A04,CE,384PP_Dest
79,1000,3000 (nL),A17,384PP_AQ_BP_plate_1,384PP_AQ_BP,A04,CE,384PP_Dest
80,1000,3000 (nL),A18,384PP_AQ_BP_plate_1,384PP_AQ_BP,A04,CE,384PP_Dest
81,1000,3000 (nL),A19,384PP_AQ_BP_plate_1,384PP_AQ_BP,A04,CE,384PP_Dest
82,1000,3000 (nL),A20,384PP_AQ_BP_plate_1,384PP_AQ_BP,A04,CE,384PP_Dest
83,1000,3000 (nL),A21,384PP_AQ_BP_plate_1,384PP_AQ_BP,A04,CE,384PP_Dest
84,1000,3000 (nL),A22,384PP_AQ_BP_plate_1,384PP_AQ_BP,A04,CE,384PP_Dest
85,1000,3000 (nL),A23,384PP_AQ_BP_plate_1,384PP_AQ_BP,A04,CE,384PP_Dest
86,1000,3000 (nL),A24,384PP_AQ_BP_plate_1,384PP_AQ_BP,A04,CE,384PP_Dest
